CTE-0.12-0.009-1.8	SteerValue-0.12-0.009-1.8	CTE-0.12-0.009-1.8-NoBreak	SteerValue-0.12-0.009-1.8-NoBreak
0.8361	-0.60582	-0.7744	0.164576
0.9866	-0.480494	-0.8552	0.0554289
0.9877	-0.216644	-0.902	0.0079629
1.248	-0.72068	-0.913	-0.0469401
1.4521	-0.651272	-0.9087	-0.0668178
1.6411	-0.654978	-0.8997	-0.0682605
1.6108	-0.264656	-0.8929	-0.0570804
1.4601	-0.0371525	0.8563	-1
1.1988	0.187289	-0.6652	1
0.9076	0.271516	-0.5792	-0.233791
0.6689	0.202315	-0.5337	-0.161548
0.7561	-0.398549	-0.5233	-0.0949065
0.9359	-0.591485	-0.5552	-0.0099417
1.042	-0.476767	-0.5995	0.0230898
1.0521	-0.310439	-0.6805	0.104994
0.9706	-0.140632	-0.7357	0.0717996
0.8034	0.0296745	-0.8024	0.107725
0.6594	0.0018975	-0.8444	0.0759048
0.6962	-0.33144	-0.8547	0.0277731
0.7362	-0.34568	-0.8385	-0.0143244
0.7239	-0.253684	-0.8059	-0.0405033
0.6366	-0.111391	-0.7656	-0.0523089
0.4886	0.013186	-0.7246	-0.0519675
0.3113	0.0856455	-0.6866	-0.0449481
0.1327	0.108754	-0.6478	-0.0452139
-0.0032	0.048218	-0.6263	-0.0110172
0.0139	-0.229303	-0.6046	-0.0085398
0.1697	-0.498508	-0.5822	-0.007248
0.289	-0.448569	-0.5672	0.0093768
0.3137	-0.282821	-0.5478	0.004059
0.2275	-0.073995	-0.5203	-0.0091383
0.1046	0.00629	-0.4984	0.0027993
-0.0437	0.0700245	-0.4593	-0.028719
